COMBUSTIBLE,ESTADO,MODELO,FECHA_REGISTRO,CLASIFICACION,CLASE,SERVICIO,MARCA,LINEA,CARROCERIA,CILINDRAJE,ORGANISMO_TRANSITO,MUNICIPIO,DEPARTAMENTO,POTENCIA,EJES
GASO ELEC,ACTIVO,2022,2022-05-10,AUTOMOVIL,AUTOMOVIL,Particular,SUZUKI,SWIFT,HATCH BACK,1242.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,88.0,2.0
GASO ELEC,ACTIVO,2021,2020-10-30,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,126.0,2.0
GASO ELEC,ACTIVO,2022,2021-04-24,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,126.0,2.0
GASO ELEC,ACTIVO,2020,2020-01-08,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2022,2021-11-18,AUTOMOVIL,AUTOMOVIL,Particular,SUZUKI,SWIFT,HATCH BACK,1242.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,88.0,2.0
GASO ELEC,ACTIVO,2022,2021-11-29,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2022,2021-07-31,AUTOMOVIL,CAMIONETA,Particular,BMW,X5 XDRIVE45E,WAGON,2998.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,286.0,2.0
GASO ELEC,ACTIVO,2023,2022-06-02,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,DPTO ADTVO TTOyTTE MCPAL CUCUTA,CUCUTA,Norte de Santander,126.0,2.0
GASO ELEC,ACTIVO,2023,2022-04-08,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,STRIA MCPAL TTO CALI,CALI,Valle del Cauca,126.0,2.0
GASO ELEC,ACTIVO,2022,2022-07-30,AUTOMOVIL,CAMIONETA,Particular,FORD,ESCAPE SE HEV,WAGON,2488.0,STRIA DTAL TTO BARRANQUILLA,BARRANQUILLA,Atlantico,200.0,2.0
GASO ELEC,ACTIVO,2022,2021-03-30,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2023,2022-08-24,AUTOMOVIL,CAMIONETA,Particular,MAZDA,CX-30,WAGON,1998.0,STRIA MCPAL TTO CALI,CALI,Valle del Cauca,153.0,2.0
GASO ELEC,ACTIVO,2022,2021-05-24,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,126.0,2.0
GASO ELEC,ACTIVO,2022,2022-05-19,AUTOMOVIL,CAMIONETA,Particular,HYUNDAI,KONA HIBRIDA,WAGON,1580.0,STRIA TTOyTTE MCPAL FUNZA,FUNZA,Cundinamarca,103.0,2.0
GASO ELEC,ACTIVO,2022,2021-08-25,AUTOMOVIL,CAMIONETA,Particular,KIA,STONIC,WAGON,998.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,118.0,2.0
GASO ELEC,ACTIVO,2022,2022-01-31,AUTOMOVIL,CAMIONETA,Particular,MERCEDES BENZ,GLC 300 E 4MATIC,WAGON,1991.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,208.0,2.0
GASO ELEC,ACTIVO,2020,2020-07-07,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2023,2022-07-05,AUTOMOVIL,AUTOMOVIL,Particular,SUZUKI,SWIFT,HATCH BACK,1242.0,STRIA MCPAL TTO CALI,CALI,Valle del Cauca,88.0,2.0
GASO ELEC,ACTIVO,2023,2022-04-04,AUTOMOVIL,AUTOMOVIL,Particular,TOYOTA,COROLLA,SEDAN,1798.0,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,126.0,2.0
GASO ELEC,ACTIVO,2020,2019-06-07,AUTOMOVIL,CAMIONETA,Particular,KIA,NIRO,WAGON,1580.0,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,139.0,2.0
GASO ELEC,ACTIVO,2023,2022-06-09,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,INSTITUTO DE MOVILIDAD DE PEREIRA,PEREIRA,Risaralda,126.0,2.0
GASO ELEC,ACTIVO,2023,2022-05-18,AUTOMOVIL,AUTOMOVIL,Particular,MAZDA,3,SEDAN,1998.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,153.0,2.0
GASO ELEC,ACTIVO,2019,2020-01-31,AUTOMOVIL,AUTOMOVIL,Particular,HYUNDAI,IONIQ HEV,SEDAN,1580.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,104.0,2.0
GASO ELEC,ACTIVO,2022,2022-04-23,AUTOMOVIL,CAMIONETA,Particular,FORD,ESCAPE SEL,WAGON,2488.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,200.0,2.0
GASO ELEC,ACTIVO,2021,2020-12-23,AUTOMOVIL,CAMPERO,Particular,SUBARU,FORESTER 2.0I-S ES CVT,WAGON,1995.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,164.0,2.0
GASO ELEC,ACTIVO,2023,2022-07-29,AUTOMOVIL,AUTOMOVIL,Particular,MAZDA,3,SEDAN,1998.0,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,153.0,2.0
GASO ELEC,ACTIVO,2023,2022-07-25,AUTOMOVIL,CAMIONETA,Particular,MAZDA,CX-30,WAGON,1998.0,SECRETARÍA DE MOVILIDAD DEL MUNICIPIO DE MOSQUERA,MOSQUERA,Cundinamarca,153.0,2.0
GASO ELEC,ACTIVO,2021,2021-07-24,AUTOMOVIL,CAMIONETA,Particular,FORD,ESCAPE SE HEV,WAGON,2488.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,200.0,2.0
GASO ELEC,ACTIVO,2023,2022-06-17,AUTOMOVIL,CAMIONETA,Particular,TOYOTA,COROLLA CROSS,WAGON,1798.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,126.0,2.0
GASO ELEC,ACTIVO,2022,2021-11-26,AUTOMOVIL,AUTOMOVIL,Particular,SUZUKI,SWIFT,HATCH BACK,1242.0,STRIA TTOyTTE MCPAL FUNZA,FUNZA,Cundinamarca,88.0,2.0
GASO ELEC,ACTIVO,2022,2022-03-18,AUTOMOVIL,AUTOMOVIL,Particular,SUZUKI,SWIFT,HATCH BACK,1242.0,SDM - BOGOTA D.C.,BOGOTA,Bogota D.C.,88.0,2.0
GASO ELEC,ACTIVO,2023,2022-10-08,AUTOMOVIL,CAMIONETA,Particular,MAZDA,CX-30,WAGON,1998.0,DPTO ADTVO TTEyTTO VILLA DEL ROSARIO,VILLA DEL ROSARIO,Norte de Santander,153.0,2.0
GASO ELEC,ACTIVO,2023,2022-07-22,AUTOMOVIL,AUTOMOVIL,Particular,SUZUKI,SWIFT,HATCH BACK,1242.0,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,88.0,2.0
